id          gid         pid         score       sid         sname       spasswd   
----------  ----------  ----------  ----------  ----------  ----------  ----------
1           1           0           0           0           mayun0      123456    
2           1           0           0           1           mayun1      123456    
3           1           0           0           2           mayun2      123456    
4           1           0           0           3           mayun3      123456    
5           1           0           0           4           mayun4      123456    
6           1           0           0           5           mayun5      123456    
7           1           0           0           6           mayun6      123456    
8           1           0           0           7           mayun7      123456    
9           1           0           0           8           mayun8      123456    
10          1           0           0           9           mayun9      123456    
11          1           1           0           10          mahuateng1  123456    
12          1           1           0           11          mahuateng1  123456    
13          1           1           0           12          mahuateng1  123456    
14          1           1           0           13          mahuateng1  123456    
15          1           1           0           14          mahuateng1  123456    
16          1           1           0           15          mahuateng1  123456    
17          1           1           0           16          mahuateng1  123456    
18          1           1           0           17          mahuateng1  123456    
19          1           1           0           18          mahuateng1  123456    
20          1           1           0           19          mahuateng1  123456    
